基金代码,一年回报率_202108_202208
MMZSPM,-12.758257532532557
MUMUMA,-7.37877392749653
MMDSSP,6.550266979789312
FPMMUM,-28.775871506047178
MMDSIX,0.889283797692106
MMDMAZ,2.3385863875133253
MMDIMM,3.372605106188953
MMXUDA,-7.067980926007593
MMASPI,7.745535345516511
MMADID,2.8367070111452506
FUMDDM,-25.41806534404451
MMFDII,-3.238027629530738
MMPZUI,9.097704164269352
IXMMXU,3.693974867460352
MUUMZU,0.6686127508523074
MMUFID,-1.0278671694393544
MUMXII,4.241066369065482
MUXUPM,2.468193715156047
MUMAUA,0.3569267920316407
MMFZFP,-26.75499918805977
UFZZIZ,-23.653189505442914
MMFXFF,-28.930729706909734
MMDXSZ,-1.8508855232663808
MUXXMD,-4.975503888796565
MUUZZD,0.7303747351441391
MUIUFS,13.757219462270895
MUMAIA,3.0683882787601036
UDMZXF,-13.750217137162497
MUMFAU,3.9263980988669562
MMUMIM,-3.4234015886732294
MMUSMF,-13.784448983182433
MMXFZX,2.229760075798671
MMZASM,-13.421023954999182
MMSXPI,-5.150687700243811
DDMMMX,4.660650729347024
MUMXSM,4.795928081355065
MMUXMX,1.6958612229998231
MMSXXM,5.192711798283254
MUUMUI,-17.74194531318053
MMIMIM,2.2380513984034827
MMDZFX,-4.611393620862787
MUUDFI,5.445087605572966
MMMUSD,-14.622910830986502
MMXXUI,-23.867182420429764
MUMSPZ,-14.71445632124561
XUMMMZ,-9.785692193916015
MMMXPA,5.999319892739047
MUMXIZ,0.7992222768760523
MUXMUS,1.9536911477024672
XMXMMS,-16.72807110399214
MMMDMI,9.507618110026886
MMIUFD,5.881978497105177
MMSZPD,4.011089927689543
MMDMDM,-0.23006259147243102
UDDUMF,2.158470840186534
MMZSZA,-9.642841121031562
MMSUII,-15.967010319853287
MMXUPD,4.926070670292007
MUUIXP,-5.946933309638117
MUUUFX,-14.059221325871919
MSMMUS,-9.663158993433203
MMXAMU,-12.13808237353365
MUUFMF,5.477208492843184
MMZSZU,-19.242683418304008
MUUDFD,5.613621491062182
MMUPAS,-10.223288790358618
MUMASA,-5.516532910187737
MMUUIZ,-1.8050897187056834
MUMAUI,-0.3381602023566779
MMASSZ,-1.5695324271765854
MMUZAI,-5.501060114915224
XPMMUI,7.9812718269938285
UDUXXU,6.024647035060899
MUXUFI,6.050224316383936
MMDZAF,5.74737122801938
MUMIAP,-14.158022309293994
MUMIIA,2.748653711929095
MMXUPS,4.380033640455996
MMFAFS,2.699881240633205
FUZUAA,4.276187957596317
MMPSXS,12.625071262971247
MMZIDP,-28.69727459929375
MMFPIS,-3.982279240290275
MMZXUM,-8.512074350314915
MUMZMS,-9.767545808146874
MMXXPP,-0.4131954006697618
MUUDUI,-30.892714259442506
MUMSMZ,10.843014909946834
MMAXZI,-34.917140611366364
MMAZFZ,1.757178501768976
UDFFXX,-24.72521665623584
MMMUXX,1.7531771432057093
MUUFZA,-10.03637328598926
MMDZUZ,4.610848463355339
MMIMXS,3.938228074356382
MMZDMZ,-4.570294848493643
FUDIXM,-4.152237869801048
MMXZPF,-2.495547910119665
MMFSSU,11.043491940832515
MMZUIF,3.39933636682178
MMDAAZ,8.070945123847089
MMAZAZ,-16.759833893408207
MUMMZP,-11.420222582753677
MMSZXS,2.985776335082201
FUZDZP,-9.37856330002919
MUUUUU,3.72418736018159
MMZXIF,3.0006418122502168
MPMMPU,4.141362816060756
MMSUID,-8.41170646447326
UFZZSI,-14.871537301820046
MMSUFU,-21.71809934008072
MUUXPP,2.9830806586050835
MMZFDU,1.1255339513677107
MMMUUS,-17.513341872304867
MUUUSF,5.554437410183126
MUMAFZ,3.4905958956467735
MMAPAA,9.455922866415548
MMADIA,1.465768670207948
MMDDFA,-9.544046439835988
MMUXAS,8.24865771960755
MMXZDI,0.038001650720509775
MMXFMP,-8.39209244445583
MMFIUD,0.4732325803547093
FMUIMA,-12.24383360136531
MMUZDD,-3.616140818215004
MUUPZF,9.41491628080885
PAIMMI,-1.663983941985422
MMPDPA,3.9262970859862665
MMZPAX,-1.0283299256303022
MMZDMF,3.777892905803211
MMSUXS,-6.5737934433225975
MMZDIU,-16.49223158158684
MUUPSF,-5.666914170531507
MMZPMA,2.83007406934581
MMPXIF,2.6451935489765397
MMMUPZ,0.602351261534057
MMFFFD,5.1431024038150035
MUUDMP,-5.278577818557986
MUMDZZ,-19.100239908219297
MMAAMI,4.246689957193017
MMZZDA,-20.225038725175217
MUMXPA,0.3948839930237429
UDUDIU,-25.085519549378716
MUUFUU,3.688173904562394
MMZXFM,0.6299996293429331
FUDMUM,-6.903155507526332
MMSAXZ,2.381736451973827
MMMXMS,2.1829353483860574
MMXDAD,-25.564928630408925
MUXXAD,1.7387982285925567
MUMSSI,-0.293649949633187
MMIMXP,2.5224823667880916
MMUPPF,5.447858298294207
MMSFSS,2.0277646439797556
DZMXMX,-4.867927266716956
MUXMSA,1.2273880524362761
MUUPUZ,-12.832273015096675
MMUXMM,1.0421860787447366
MMFPZP,-15.3983685066138
MMAXFD,4.409491461973175
MMUDDX,-23.18343068209122
MMDDAU,2.90408677674514
MUUPZD,3.8027801925760265
MMSMZD,-9.85716120869371
MMPAZS,3.531769281499937
FUZMFD,10.407399896773143
MMAMAS,-20.799172953084334
MMSDAI,7.629431052070673
MUUAXP,-6.24063685350636
MUMSMA,1.5317394655236596
MMUMUI,-3.255426487534063
FUMDFM,-4.501745132094216
SUMMMU,-8.573097615193964
MMSADS,3.515676579695705
MMDZPX,-8.267415809400429
MMPXUX,-24.326720772668043
MMZZUP,-19.9833645004511
MUUFDS,-18.33034752413955
