基金代码,degree,betweenness,closeness,eigenvector
MMFFPU,0.8354679802955665,0.00029768619430774835,0.8587140439932318,0.033762381656455114
MMFDUX,0.8295566502463053,0.0002558042655752285,0.8543771043771043,0.03375032666953296
MMFDXM,0.6177339901477832,0.00010157233066472719,0.7234497505345688,0.02564692410012295
MMFDSP,0.8463054187192117,0.000353110984092021,0.8667805294619982,0.03393227699372359
MMFAUM,0.8088669950738916,0.00019246540378567133,0.8395368072787428,0.03330144660900082
MMFAXS,0.7605911330049261,0.00015881971339268744,0.8068362480127186,0.031383533501897855
MMFAPP,0.7064039408866994,0.0002094572852089712,0.773038842345773,0.028533780964742374
MMFAFU,0.6866995073891625,9.486975873390074e-05,0.7614403600900225,0.028861564145777164
MMDMMX,0.683743842364532,0.0001129781053676156,0.7597305389221557,0.028373561687376207
MMDUUI,0.7280788177339901,0.00014150899493397374,0.7862122385747483,0.03011232128119659
MMDUID,0.8758620689655172,0.00027795997065835457,0.8895705521472392,0.0355805418355077
MMDXXA,0.6886699507389162,0.00010344936994965391,0.7625845229151015,0.028683527772715142
MMDXIF,0.7635467980295566,0.00017793271906535102,0.8087649402390438,0.0315728841047659
MMDXSZ,0.8778325123152708,0.00036712097886036486,0.8911325724319579,0.0352158891710196
MMDIPF,0.7182266009852216,0.00011123862092047378,0.7801691006917756,0.029978330284476534
MMDFMX,0.516256157635468,0.00011263848038315624,0.6739707835325365,0.02062233632985396
MMDFZF,0.4896551724137931,4.992022062973122e-05,0.6621004566210046,0.020287088749190968
MMDDSU,0.8167487684729063,0.0002183580689859583,0.8451290591174022,0.03341734342844118
MMDDSF,0.8137931034482758,0.00024226784999368842,0.8430232558139535,0.03309248822556449
MMDSUA,0.9241379310344827,0.00038273400396102413,0.9294871794871795,0.03706821881691546
MMDSFZ,0.8807881773399014,0.00032440115473752855,0.8934859154929577,0.035549302204963294
MMDSDA,0.5004926108374383,7.458550441492689e-05,0.6668856767411301,0.020498189694227915
MMDSSF,0.7842364532019703,0.00027330088129889896,0.8225283630470016,0.03155578001545444
MMDASS,0.9024630541871921,0.0003593016252523549,0.9111310592459605,0.03625656345945038
MMDZXI,0.5950738916256157,7.621992498611881e-05,0.711781206171108,0.024864994352445033
MMDZAU,0.7310344827586206,0.0001461303241061369,0.7880434782608695,0.03020782840650979
MMSMDD,0.7438423645320197,0.00018972611961831187,0.796078431372549,0.030308485959506325
MMSMAP,0.825615763546798,0.00023044049354904172,0.8515100671140939,0.03376624753185332
MMSUFU,0.6118226600985222,5.808742928269453e-05,0.7203690560681334,0.025881949199827562
MMSIMA,0.780295566502463,0.000159624743899157,0.8198707592891761,0.032334569030863666
MMSPUX,0.7201970443349753,0.00010677410747555244,0.7813702848344881,0.030112025166081604
MMSFII,0.6955665024630542,0.00011498129124391381,0.7666163141993958,0.028902553248852204
MMSFPA,0.7458128078817733,0.00014827824634406844,0.7973291437549097,0.03077355643324258
MMSFPZ,0.5970443349753695,0.00011793305117772342,0.7127808988764045,0.02462979552817666
MMSFZX,0.7517241379310344,0.00016778161027250008,0.8011049723756906,0.03095711918266911
MMSDSU,0.7467980295566502,0.00017658257054284707,0.7979559748427673,0.030702809433868408
MMSZXI,0.8748768472906403,0.00030226830205657004,0.8887915936952715,0.03549538221198061
MMAMZZ,0.38128078817733985,6.982897509114534e-05,0.6177723676202069,0.014836262585993909
